NroAsiento|Fecha|CodigoCuenta|Debe|Haber
1|09/05/2021|15|1000|0
1|09/05/2021|16|0|1000
2|09/05/2021|15|200|0
2|09/05/2021|16|200|0
2|09/05/2021|17|600|0
2|09/05/2021|19|0|1000
3|10/05/2020|23|1000|0
3|10/05/2020|18|0|500
3|10/05/2020|32|0|500
4|09/05/2021|30|730|0
4|09/05/2021|29|270|0
4|09/05/2021|25|0|1000
5|09/05/2021|13|1000|0
5|09/05/2021|14|0|500
5|09/05/2021|16|0|500
6|09/05/2021|16|1000|0
6|09/05/2021|18|0|1000
1|03/20/2018|14|250|0
1|03/20/2018|15|250|0
1|03/20/2018|16|0|500
2|10/08/2020|20|1000|0
2|10/08/2020|23|0|500
2|10/08/2020|22|0|500
3|05/10/2020|13|1000|0
3|05/10/2020|14|0|300
3|05/10/2020|15|0|700
4|06/06/2019|13|250|0
4|06/06/2019|14|250|0
4|06/06/2019|15|250|0
4|06/06/2019|16|250|0
4|06/06/2019|13|0|1000
1|09/05/2021|15|1000|0
1|09/05/2021|16|0|1000
2|09/05/2021|15|200|0
2|09/05/2021|16|200|0
2|09/05/2021|17|600|0
2|09/05/2021|19|0|1000
3|10/05/2020|23|1000|0
3|10/05/2020|18|0|500
3|10/05/2020|32|0|500
4|09/05/2021|30|730|0
4|09/05/2021|29|270|0
4|09/05/2021|25|0|1000
5|09/05/2021|13|1000|0
5|09/05/2021|14|0|500
5|09/05/2021|16|0|500
6|09/05/2021|16|1000|0
6|09/05/2021|18|0|1000
1|03/23/2018|14|250|0
1|03/23/2018|15|250|0
1|03/23/2018|16|0|500
2|10/08/2020|20|1000|0
2|10/08/2020|23|0|500
2|10/08/2020|22|0|500
3|05/10/2020|13|1000|0
3|05/10/2020|14|0|300
3|05/10/2020|15|0|700
4|06/06/2019|13|250|0
4|06/06/2019|14|250|0
4|06/06/2019|15|250|0
4|06/06/2019|16|250|0
4|06/06/2019|13|0|1000
